	vg_image_id	vg_object_id	link_mn	domain	topname	responses	total_responses	split	topname_agreement	jaccard_similarity	raw_responses
6121	2341545	2651835	http://object-naming-amore.upf.edu//2341545_2651835_singleton_obj.png	gent	dona	{'dona': 3, 'noia': 3, 'persona': 2, 'pilona': 1, 'jove': 1}	10	test	0.3	0.4	{'noia': 4, 'dona': 3, 'persona': 2, 'pilona': 1, 'jove': 1}
6149	2341665	3180517	http://object-naming-amore.upf.edu//2341665_3180517_singleton_obj.png	animals_plantes	zebra	{'zebra': 10}	10	test	1.0	1.0	{'zebra': 11}
6191	2341844	2106050	http://object-naming-amore.upf.edu//2341844_2106050_singleton_obj.png	vehicles	moto	{'moto': 8, 'globus': 1, 'motocicleta': 1}	10	test	0.8	0.14285714285714285	{'moto': 8, 'globus': 1, 'motocicleta': 1, 'motocicleta i globus': 1}
6224	2341930	3172848	http://object-naming-amore.upf.edu//2341930_3172848_singleton_obj.png	animals_plantes	zebra	{'zebra': 10}	10	test	1.0	1.0	{'zebra': 11}
6253	2342088	2577865	http://object-naming-amore.upf.edu//2342088_2577865_singleton_obj.png	gent	noi	{'noi': 5, 'samarreta': 1, 'persona': 1, 'home': 1, 'patinador de monopatí': 1, 'patinador': 1}	10	test	0.5	0.42857142857142855	{'noi': 6, 'samarreta': 1, 'persona': 1, 'home': 1, 'monopatinador': 1, 'patinador': 1}
6260	2342109	937166	http://object-naming-amore.upf.edu//2342109_937166_singleton_obj.png	vehicles	furgoneta	{'furgoneta': 5, 'caravana': 1, 'figureta': 1, 'vehicle': 1, 'cotxe': 1, 'autocar': 1}	10	test	0.5	0.42857142857142855	{'furgoneta': 6, 'caravana': 1, 'figureta': 1, 'vehicle': 1, 'cotxe': 1, 'autocar': 1}
6288	2342226	935890	http://object-naming-amore.upf.edu//2342226_935890_supercat_unique.png	animals_plantes	gos	{'gos': 10}	10	test	1.0	1.0	{'gos': 11}
6301	2342266	935518	http://object-naming-amore.upf.edu//2342266_935518_singleton_obj.png	vehicles	avió	{'avió': 10}	10	test	1.0	0.5	{'avió': 11}
6302	2342270	935461	http://object-naming-amore.upf.edu//2342270_935461_singleton_obj.png	animals_plantes	girafa	{'girafa': 9, 'zebra': 1}	10	test	0.9	0.5	{'girafa': 10, 'zebra': 1}
6388	2342654	931997	http://object-naming-amore.upf.edu//2342654_931997_singleton_obj.png	animals_plantes	ratolí	{'ratolí': 10}	10	test	1.0	0.5	{'ratolí': 9, 'ratoli': 2}
6395	2342685	2472519	http://object-naming-amore.upf.edu//2342685_2472519_singleton_obj.png	menjar	pizza	{'pizza': 9, 'coca': 1}	10	test	0.9	0.3333333333333333	{'pizza': 9, 'coca': 1, 'coc': 1}
6414	2342762	931019	http://object-naming-amore.upf.edu//2342762_931019_supercat_unique.png	animals_plantes	gos	{'gos': 10}	10	test	1.0	0.5	{'gos': 11}
6437	2342867	2059137	http://object-naming-amore.upf.edu//2342867_2059137_seed_ambiguous.png	menjar	fruita	{'fruita': 6, 'safata': 1, 'fruites': 1, 'plàtera': 1}	9	test	0.6666666666666666	0.16666666666666666	{'fruita': 7, 'safata': 1, 'plat': 1, 'fruites': 1, 'plàtera': 1}
6439	2342881	2301323	http://object-naming-amore.upf.edu//2342881_2301323_singleton_obj.png	vehicles	tren	{'tren': 8, 'vagó': 1, 'vagó de tren': 1}	10	test	0.8	0.3333333333333333	{'tren': 8, 'vagó': 2, 'vagó de tren': 1}
6470	2343006	928423	http://object-naming-amore.upf.edu//2343006_928423_supercat_unique.png	edificis	pont	{'pont': 9}	9	test	1.0	1.0	{'pont': 10, 'tren': 1}
6511	2343148	2097621	http://object-naming-amore.upf.edu//2343148_2097621_singleton_obj.png	vehicles	camió	{'camió': 9, 'camió cisterna': 1}	10	test	0.9	1.0	{'camió': 9, 'camió cisterna': 2}
6539	2343236	3917554	http://object-naming-amore.upf.edu//2343236_3917554_seed_ambiguous.png	casa	banyera	{'banyera': 10}	10	test	1.0	1.0	{'banyera': 11}
6555	2343305	925272	http://object-naming-amore.upf.edu//2343305_925272_singleton_obj.png	vehicles	tren	{'tren': 6, 'locomotora': 3, 'màquina': 1}	10	test	0.6	0.3333333333333333	{'tren': 6, 'locomotora': 4, 'màquina': 1}
6570	2343376	2543101	http://object-naming-amore.upf.edu//2343376_2543101_supercat_unique.png	gent	noi	{'noi': 5, 'persona': 2, 'càmera de fotos': 1}	8	test	0.625	0.16666666666666666	{'noi': 6, 'càmera': 2, 'persona': 2, 'càmera de fotos': 1}
6597	2343482	2106327	http://object-naming-amore.upf.edu//2343482_2106327_singleton_obj.png	gent	noia	{'noia': 4, 'jugadora': 2, 'esportista': 1, 'jugadora de vòlei': 1}	8	test	0.5	0.125	{'noia': 4, 'jugadora': 3, 'pilota': 2, 'esportista': 1, 'jugadora voley': 1}
6615	2343564	3706588	http://object-naming-amore.upf.edu//2343564_3706588_supercat_ambiguous.png	gent	nena	{'nena': 4, 'ulleres': 1, 'samarreta': 1, 'infant': 1, 'nen': 1, 'bebè': 1, 'nadó': 1}	10	test	0.4	0.375	{'nena': 5, 'ulleres': 1, 'samarreta': 1, 'infant': 1, 'nen': 1, 'bebé': 1, 'nadó': 1}
6627	2343612	921658	http://object-naming-amore.upf.edu//2343612_921658_singleton_obj.png	casa	escriptori	{'escriptori': 5, 'taula': 4, 'teclats': 1}	10	test	0.5	0.6666666666666666	{'escriptori': 5, 'taula': 4, 'teclats': 1, 'teclat i ratolí': 1}
6632	2343623	2380528	http://object-naming-amore.upf.edu//2343623_2380528_singleton_obj.png	gent	noi	{'noi': 5, 'jove': 2, 'persona': 1}	8	test	0.625	0.0	{'noi': 5, 'corbata': 2, 'jove': 2, 'persona': 1, 'noi jove': 1}
6633	2343624	3428592	http://object-naming-amore.upf.edu//2343624_3428592_singleton_obj.png	casa	escriptori	{'escriptori': 7, 'taula': 3}	10	test	0.7	1.0	{'escriptori': 7, 'taula': 3, 'estoreta': 1}
6663	2343725	920682	http://object-naming-amore.upf.edu//2343725_920682_singleton_obj.png	edificis	pont	{'pont': 7, 'estructura': 2, 'bastida': 1}	10	test	0.7	0.3333333333333333	{'pont': 6, 'estructura': 3, 'pont metàl·lic': 1, 'andami': 1}
6666	2343739	3279993	http://object-naming-amore.upf.edu//2343739_3279993_singleton_obj.png	vehicles	vaixell	{'vaixell': 8, 'iot': 1, 'ferri': 1}	10	test	0.8	0.3333333333333333	{'vaixell': 9, 'iot': 1, 'ferri': 1}
6673	2343762	2013654	http://object-naming-amore.upf.edu//2343762_2013654_singleton_obj.png	casa	llit	{'llit': 8, 'coixí': 1, 'lli': 1}	10	test	0.8	0.3333333333333333	{'llit': 9, 'coixí': 1, 'lli': 1}
6675	2343767	2653407	http://object-naming-amore.upf.edu//2343767_2653407_singleton_obj.png	gent	dona	{'dona': 3, 'càmera': 2, 'noia': 2, 'carrer': 1, 'persona': 1, 'senyora': 1}	10	test	0.3	0.16666666666666666	{'dona': 4, 'càmera': 2, 'noia': 2, 'carrer': 1, 'persona': 1, 'senyora': 1}
6684	2343796	920020	http://object-naming-amore.upf.edu//2343796_920020_singleton_obj.png	gent	tennista	{'tennista': 4, 'raqueta': 2, 'noia': 2, 'persona': 1, 'jugadora de tennis': 1}	10	test	0.4	0.14285714285714285	{'tenista': 5, 'raqueta': 2, 'noia': 2, 'persona': 1, 'jugadora de tenis': 1}
6754	2344059	3028486	http://object-naming-amore.upf.edu//2344059_3028486_singleton_obj.png	vehicles	cotxe	{'cotxe': 4, 'vehicle': 1}	5	test	0.8	0.5	{'cotxe': 4, 'roda': 3, 'gat': 3, 'vehicle': 1}
6771	2344119	917740	http://object-naming-amore.upf.edu//2344119_917740_supercat_unique.png	casa	cadira	{'cadira': 3, 'butaca': 3, 'banc': 1}	7	test	0.42857142857142855	0.5	{'cadira': 3, 'nen': 3, 'butaca': 3, 'banc': 1, 'llibre': 1}
6809	2344274	3196133	http://object-naming-amore.upf.edu//2344274_3196133_singleton_obj.png	vehicles	cotxe	{'cotxe': 10}	10	test	1.0	1.0	{'cotxe': 11}
6813	2344297	2031311	http://object-naming-amore.upf.edu//2344297_2031311_supercat_ambiguous.png	gent	home	{'home': 7, 'barret': 1, 'samarreta': 1, 'senyor': 1}	10	test	0.7	0.2	{'home': 8, 'barret': 1, 'samarreta': 1, 'senyor': 1}
6899	2344656	2073398	http://object-naming-amore.upf.edu//2344656_2073398_singleton_obj.png	casa	taula	{'taula': 7, 'ulleres': 1, 'persona': 1, 'rostre': 1}	10	test	0.7	0.25	{'taula': 7, 'ulleres': 1, 'persona': 1, 'rostre': 1, 'bolígraf': 1}
6960	2344881	2928666	http://object-naming-amore.upf.edu//2344881_2928666_singleton_obj.png	animals_plantes	gat	{'gat': 9, 'sabatilla': 1}	10	test	0.9	0.5	{'gat': 10, 'sabatilla': 1}
6990	2345008	911356	http://object-naming-amore.upf.edu//2345008_911356_singleton_obj.png	animals_plantes	girafa	{'girafa': 10}	10	test	1.0	1.0	{'girafa': 10, 'jirafa': 1}
6999	2345040	2330042	http://object-naming-amore.upf.edu//2345040_2330042_supercat_ambiguous.png	vehicles	tren	{'tren': 9, 'locomotora': 1}	10	test	0.9	0.5	{'tren': 10, 'locomotora': 1}
7005	2345052	911036	http://object-naming-amore.upf.edu//2345052_911036_singleton_obj.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	1.0	{'cavall': 11}
7047	2345225	1042796	http://object-naming-amore.upf.edu//2345225_1042796_supercat_unique.png	edificis	casa	{'casa': 5, 'barret': 2, 'edifici': 1, 'treballador': 1}	9	test	0.5555555555555556	0.5	{'casa': 5, 'barret': 3, 'edifici': 1, 'treballador': 1, 'home': 1}
7072	2345311	3427084	http://object-naming-amore.upf.edu//2345311_3427084_singleton_obj.png	casa	banc	{'banc': 10}	10	test	1.0	1.0	{'banc': 11}
7073	2345314	3625580	http://object-naming-amore.upf.edu//2345314_3625580_singleton_obj.png	roba	capó	{'capó': 9, 'tapa': 1}	10	test	0.9	0.0	{'capó': 9, 'tapa': 1, 'capotapont': 1}
7082	2345357	2862710	http://object-naming-amore.upf.edu//2345357_2862710_singleton_obj.png	vehicles	tramvia	{'tramvia': 6, 'tren': 4}	10	test	0.6	0.5	{'tramvia': 5, 'tren': 4, 'tranvia': 1}
7108	2345490	2613124	http://object-naming-amore.upf.edu//2345490_2613124_seed_ambiguous.png	casa	taula	{'taula': 6, 'ventilador': 1, 'nevera': 1, 'refrigerant': 1, 'endoll': 1}	10	test	0.6	0.16666666666666666	{'taula': 6, 'ventilador': 1, 'nevera': 1, 'refrigerant': 1, 'endoll': 1}
7117	2345529	1042664	http://object-naming-amore.upf.edu//2345529_1042664_singleton_obj.png	casa	escriptori	{'escriptori': 6, 'taula': 2, 'tauleta': 1}	9	test	0.6666666666666666	0.6666666666666666	{'escriptori': 6, 'taula': 2, 'diari': 1, 'tauleta': 1}
7132	2345598	2141879	http://object-naming-amore.upf.edu//2345598_2141879_seed_ambiguous.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	1.0	{'cavall': 10}
7136	2345609	2116974	http://object-naming-amore.upf.edu//2345609_2116974_singleton_obj.png	animals_plantes	ocell	{'ocell': 7, 'au': 3}	10	test	0.7	0.5	{'ocell': 7, 'au': 3}
7140	2345619	1042597	http://object-naming-amore.upf.edu//2345619_1042597_singleton_obj.png	vehicles	cotxe	{'cotxe': 7, 'cotxe de policia': 2, 'policia': 1}	10	test	0.7	0.14285714285714285	{'cotxe': 7, 'cotxe de policia': 2, 'policia': 1}
7142	2345629	3023941	http://object-naming-amore.upf.edu//2345629_3023941_singleton_obj.png	vehicles	tramvia	{'tramvia': 5, 'tren': 5}	10	test	0.5	0.5	{'tren': 5, 'tramvia': 4, 'tranvia': 1}
7179	2345779	3622091	http://object-naming-amore.upf.edu//2345779_3622091_singleton_obj.png	casa	taula	{'taula': 6, 'dònut': 4}	10	test	0.6	0.5	{'taula': 6, 'donut': 4}
7201	2345838	904418	http://object-naming-amore.upf.edu//2345838_904418_singleton_obj.png	roba	jaqueta	{'jaqueta': 4, 'dona': 2, 'llauna': 1}	7	test	0.5714285714285714	0.16666666666666666	{'jaqueta': 4, 'mà': 3, 'dona': 2, 'llauna': 1}
7205	2345850	2046866	http://object-naming-amore.upf.edu//2345850_2046866_singleton_obj.png	casa	banc	{'banc': 8, 'cama': 2}	10	test	0.8	0.5	{'banc': 8, 'cama': 2}
7247	2346071	2300084	http://object-naming-amore.upf.edu//2346071_2300084_singleton_obj.png	casa	sofà	{'sofà': 7, 'texans': 1, 'homes': 1, 'jugadors': 1}	10	test	0.7	0.25	{'sofà': 7, 'texans': 1, 'homes': 1, 'jugadors': 1}
7260	2346124	902206	http://object-naming-amore.upf.edu//2346124_902206_seed_ambiguous.png	casa	sofà	{'sofà': 10}	10	test	1.0	1.0	{'sofà': 10}
7286	2346212	2530230	http://object-naming-amore.upf.edu//2346212_2530230_singleton_obj.png	animals_plantes	girafa	{'girafa': 10}	10	test	1.0	1.0	{'girafa': 10}
7318	2346343	2030809	http://object-naming-amore.upf.edu//2346343_2030809_singleton_obj.png	edificis	edifici	{'edifici': 7, 'palau de westminster': 1, 'parlament britànic': 1}	9	test	0.7777777777777778	0.14285714285714285	{'edifici': 6, 'palau de westminster': 1, 'parlament britànic': 1, 'londres': 1, 'adifici': 1}
7325	2346358	2361124	http://object-naming-amore.upf.edu//2346358_2361124_singleton_obj.png	animals_plantes	gat	{'gat': 10}	10	test	1.0	1.0	{'gat': 10}
7328	2346372	2354112	http://object-naming-amore.upf.edu//2346372_2354112_singleton_obj.png	animals_plantes	gat	{'gat': 10}	10	test	1.0	1.0	{'gat': 10}
7336	2346419	2593976	http://object-naming-amore.upf.edu//2346419_2593976_singleton_obj.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	1.0	{'cavall': 10}
7341	2346444	2498643	http://object-naming-amore.upf.edu//2346444_2498643_supercat_unique.png	edificis	casa	{'casa': 6, 'nois': 2, 'surfistes': 1, 'homes': 1}	10	test	0.6	0.2	{'casa': 6, 'nois': 2, 'surfistes': 1, 'homes': 1}
7342	2346456	899277	http://object-naming-amore.upf.edu//2346456_899277_singleton_obj.png	gent	dona	{'dona': 8, 'banyador': 1, 'noia': 1}	10	test	0.8	0.2	{'dona': 7, 'banyador': 1, 'dona platja': 1, 'noia': 1}
7355	2346532	898572	http://object-naming-amore.upf.edu//2346532_898572_singleton_obj.png	vehicles	avió	{'avió': 9, 'avioneta': 1}	10	test	0.9	0.5	{'avió': 8, 'avioneta': 1, 'avio': 1}
7377	2346596	3909740	http://object-naming-amore.upf.edu//2346596_3909740_supercat_unique.png	roba	jaqueta	{'jaqueta': 7, 'xandall': 1, 'nena': 1, 'jersei': 1}	10	test	0.7	0.2	{'jaqueta': 6, 'xandall': 1, 'nena': 1, 'jersei': 1, 'ar': 1}
7425	2346824	1698347	http://object-naming-amore.upf.edu//2346824_1698347_singleton_obj.png	gent	noi	{'noi': 6, 'tennista': 2, 'jugador': 2}	10	test	0.6	0.14285714285714285	{'noi': 6, 'tenista': 2, 'jugador': 2}
7459	2346928	3614207	http://object-naming-amore.upf.edu//2346928_3614207_singleton_obj.png	casa	coixí	{'coixí': 7, 'dimoni': 1, 'roba': 1, 'gat': 1}	10	test	0.7	0.14285714285714285	{'coixí': 7, 'dimoni': 1, 'roba': 1, 'gat': 1}
7477	2347030	2060672	http://object-naming-amore.upf.edu//2347030_2060672_singleton_obj.png	animals_plantes	girafa	{'girafa': 9, 'girafes': 1}	10	test	0.9	0.5	{'girafa': 9, 'girafes': 1}
7512	2347159	2013117	http://object-naming-amore.upf.edu//2347159_2013117_singleton_obj.png	vehicles	tren	{'tren': 9, 'via de tren': 1}	10	test	0.9	0.5	{'tren': 9, 'via de tren': 1}
7523	2347210	892550	http://object-naming-amore.upf.edu//2347210_892550_singleton_obj.png	gent	home	{'home': 8, 'esquena': 2}	10	test	0.8	0.3333333333333333	{'home': 8, 'esquena': 2}
7536	2347254	2028993	http://object-naming-amore.upf.edu//2347254_2028993_supercat_ambiguous.png	animals_plantes	ovella	{'ovella': 10}	10	test	1.0	0.5	{'ovella': 10}
7541	2347285	2316090	http://object-naming-amore.upf.edu//2347285_2316090_singleton_obj.png	vehicles	avió	{'avió': 10}	10	test	1.0	1.0	{'avió': 10}
7542	2347290	2137515	http://object-naming-amore.upf.edu//2347290_2137515_singleton_obj.png	gent	noi	{'noi': 4, 'jugador': 3, 'esportista': 1, 'beisbol': 1, 'nen': 1}	10	test	0.4	0.2222222222222222	{'noi': 4, 'jugador': 3, 'esportista': 1, 'bèisbol': 1, 'nen': 1}
7569	2347374	891439	http://object-naming-amore.upf.edu//2347374_891439_supercat_unique.png	gent	noi	{'noi': 7, 'home': 2}	9	test	0.7777777777777778	0.2	{'noi': 7, 'home': 2, 'xinès': 1}
7616	2347523	1890185	http://object-naming-amore.upf.edu//2347523_1890185_singleton_obj.png	gent	nena	{'nena': 9, 'rosa': 1}	10	test	0.9	0.25	{'nena': 9, 'rosa': 1}
7624	2347544	1925451	http://object-naming-amore.upf.edu//2347544_1925451_singleton_obj.png	menjar	entrepà	{'entrepà': 9, 'salsitxa': 1}	10	test	0.9	0.2	{'entrepà': 9, 'salsitxa': 1}
7634	2347576	2470574	http://object-naming-amore.upf.edu//2347576_2470574_singleton_obj.png	vehicles	moto	{'moto': 7, 'motocicleta': 2, 'vehicle': 1}	10	test	0.7	0.25	{'moto': 7, 'motocicleta': 2, 'vehicle': 1}
7667	2347683	888546	http://object-naming-amore.upf.edu//2347683_888546_singleton_obj.png	casa	sofà	{'sofà': 10}	10	test	1.0	1.0	{'sofà': 10}
7674	2347710	2192608	http://object-naming-amore.upf.edu//2347710_2192608_seed_ambiguous.png	casa	llit	{'llit': 8, 'llençols': 1, 'manta': 1}	10	test	0.8	0.3333333333333333	{'llit': 8, 'llençols': 1, 'manta': 1}
7685	2347755	2699790	http://object-naming-amore.upf.edu//2347755_2699790_supercat_unique.png	casa	taula	{'taula': 4, 'menjar': 2, 'superfície': 1, 'burrito': 1, 'kebab': 1, 'tauleta': 1}	10	test	0.4	0.125	{'taula': 4, 'menjar': 2, 'superfície': 1, 'burrito': 1, 'kebab': 1, 'tauleta': 1}
7700	2347822	1920353	http://object-naming-amore.upf.edu//2347822_1920353_singleton_obj.png	gent	home	{'home': 5, 'senyor': 2}	7	test	0.7142857142857143	0.25	{'home': 5, 'banc': 3, 'senyor': 2}
7714	2347884	886549	http://object-naming-amore.upf.edu//2347884_886549_singleton_obj.png	vehicles	vaixell	{'vaixell': 10}	10	test	1.0	1.0	{'vaixell': 10}
7736	2347981	885742	http://object-naming-amore.upf.edu//2347981_885742_singleton_obj.png	roba	jaqueta	{'jaqueta': 7, 'màniga': 1, 'mà': 1, 'canyeta': 1}	10	test	0.7	0.16666666666666666	{'jaqueta': 6, 'màniga': 1, 'indefinit': 1, 'mà': 1, 'canyeta': 1}
7738	2347987	1998389	http://object-naming-amore.upf.edu//2347987_1998389_singleton_obj.png	gent	dona	{'dona': 4, 'noia': 3, 'surfista': 2, 'banyador': 1}	10	test	0.4	0.6	{'dona': 3, 'noia': 3, 'surfista': 2, 'banyador': 1, 'dona platja': 1}
7796	2348184	2476253	http://object-naming-amore.upf.edu//2348184_2476253_singleton_obj.png	animals_plantes	zebra	{'zebra': 10}	10	test	1.0	1.0	{'zebra': 10}
7830	2348389	882564	http://object-naming-amore.upf.edu//2348389_882564_singleton_obj.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	1.0	{'cavall': 10}
7858	2348483	1737816	http://object-naming-amore.upf.edu//2348483_1737816_singleton_obj.png	animals_plantes	zebra	{'zebra': 10}	10	test	1.0	0.5	{'zebra': 10}
7873	2348528	2385967	http://object-naming-amore.upf.edu//2348528_2385967_seed_ambiguous.png	animals_plantes	cavall	{'cavall': 5, 'cavalls': 4, 'equitació': 1}	10	test	0.5	0.3333333333333333	{'cavall': 5, 'cavalls': 4, 'equitació': 1}
7890	2348579	2663685	http://object-naming-amore.upf.edu//2348579_2663685_seed_ambiguous.png	menjar	entrepà	{'entrepà': 8, 'jalapa': 1, 'pa': 1}	10	test	0.8	0.2	{'entrepà': 8, 'jalapeny': 1, 'pa': 1}
7891	2348588	3604409	http://object-naming-amore.upf.edu//2348588_3604409_singleton_obj.png	casa	banc	{'banc': 10}	10	test	1.0	0.5	{'banc': 10}
7894	2348594	2476852	http://object-naming-amore.upf.edu//2348594_2476852_seed_ambiguous.png	menjar	menjar	{'menjar': 6, 'arrebossat': 2, 'pollastre arrebossat': 1, 'mandonguilles': 1}	10	test	0.6	0.0	{'menjar': 6, 'arrebossat': 2, 'pollastre arrebossat': 1, 'mandonguilles': 1}
7924	2348690	880516	http://object-naming-amore.upf.edu//2348690_880516_singleton_obj.png	animals_plantes	gos	{'gos': 10}	10	test	1.0	1.0	{'gos': 10}
8013	2348981	1831397	http://object-naming-amore.upf.edu//2348981_1831397_singleton_obj.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	0.5	{'cavall': 10}
8019	2348994	2463055	http://object-naming-amore.upf.edu//2348994_2463055_singleton_obj.png	gent	noi	{'noi': 6, 'patinador': 2, 'home': 1, 'esportista': 1}	10	test	0.6	0.3333333333333333	{'noi': 6, 'patinador': 2, 'home': 1, 'esportista': 1}
8023	2349004	2402544	http://object-naming-amore.upf.edu//2349004_2402544_seed_ambiguous.png	menjar	pastís	{'pastís': 3, 'postres': 2, 'sucre': 1, 'pa': 1, 'torrades': 1, 'torradeta': 1, 'llesca de pa': 1}	10	test	0.3	0.2	{'pastís': 2, 'lledques': 1, 'sucre': 1, 'tarta': 1, 'pa': 1, 'postres': 1, 'torrades': 1, 'torradeta': 1, 'llesca de pa': 1, 'postre': 1}
8025	2349012	2382341	http://object-naming-amore.upf.edu//2349012_2382341_singleton_obj.png	gent	noia	{'noia': 7, 'plat': 1, 'dona': 1, 'pastis': 1}	10	test	0.7	0.4	{'noia': 8, 'plat i forquilla': 1, 'dona': 1, 'pastis': 1}
8087	2349240	2689074	http://object-naming-amore.upf.edu//2349240_2689074_singleton_obj.png	vehicles	tren	{'tren': 10}	10	test	1.0	1.0	{'tren': 11}
8088	2349243	876260	http://object-naming-amore.upf.edu//2349243_876260_singleton_obj.png	animals_plantes	girafa	{'girafa': 10}	10	test	1.0	1.0	{'girafa': 9, 'jirafa': 2}
8201	2349680	1917605	http://object-naming-amore.upf.edu//2349680_1917605_seed_ambiguous.png	roba	barret	{'barret': 7, 'gorra': 2, 'sanefa': 1}	10	test	0.7	0.5	{'gorro': 5, 'barret': 3, 'gorra': 2, 'senefa': 1}
8211	2349739	2695611	http://object-naming-amore.upf.edu//2349739_2695611_seed_ambiguous.png	menjar	pa	{'pa': 7, 'entrepà': 2, 'llesca': 1}	10	test	0.7	0.5	{'pa': 7, 'entrepà': 2, 'llesca de pa': 1, 'llesca': 1}
8264	2349902	2045699	http://object-naming-amore.upf.edu//2349902_2045699_singleton_obj.png	vehicles	cotxe	{'cotxe': 9, 'maleter': 1}	10	test	0.9	0.3333333333333333	{'cotxe': 10, 'maleter': 1}
8267	2349911	3902113	http://object-naming-amore.upf.edu//2349911_3902113_singleton_obj.png	animals_plantes	papallona	{'papallona': 10}	10	test	1.0	0.5	{'papallona': 11}
8299	2350083	2020869	http://object-naming-amore.upf.edu//2350083_2020869_supercat_unique.png	casa	banc	{'banc': 8, 'bossa': 1, 'motxilla': 1}	10	test	0.8	0.3333333333333333	{'banc': 9, 'bossa': 1, 'motxilla': 1}
8306	2350119	2542058	http://object-naming-amore.upf.edu//2350119_2542058_singleton_obj.png	animals_plantes	cavall	{'cavall': 10}	10	test	1.0	1.0	{'cavall': 11}
8317	2350164	1668548	http://object-naming-amore.upf.edu//2350164_1668548_singleton_obj.png	gent	surfista	{'surfista': 4, 'noi': 3, 'nen': 2, 'jove': 1}	10	test	0.4	0.3333333333333333	{'nen': 3, 'surfista': 3, 'noi': 3, 'jove': 1, 'sufera': 1}
8331	2350235	1863325	http://object-naming-amore.upf.edu//2350235_1863325_seed_ambiguous.png	animals_plantes	bou	{'bou': 4, 'toro': 2, 'vaca': 2, 'mamífer': 1, 'cabró': 1}	10	test	0.4	0.2857142857142857	{'bou': 3, 'toro': 2, 'vaca': 2, 'uros': 1, 'mamífer': 1, '--': 1, 'cabró': 1}
8378	2350388	1762826	http://object-naming-amore.upf.edu//2350388_1762826_seed_ambiguous.png	animals_plantes	girafa	{'girafa': 5, 'girafes': 5}	10	test	0.5	0.5	{'girafes': 5, 'girafa': 4, 'jirafes': 1, 'jirafa': 1}
8384	2350417	1744156	http://object-naming-amore.upf.edu//2350417_1744156_singleton_obj.png	gent	home	{'home': 3, 'barbut': 2, 'barba': 1, 'senyor': 1, 'noi': 1}	8	test	0.375	0.2	{'gorra': 2, 'barbut': 2, 'home': 2, 'cara': 1, 'barba': 1, 'senyor': 1, 'noi': 1, 'home barbut': 1}
8412	2350576	867004	http://object-naming-amore.upf.edu//2350576_867004_singleton_obj.png	edificis	casa	{'casa': 6, 'caseta': 3, 'finestra': 1}	10	test	0.6	0.25	{'casa': 7, 'caseta': 3, 'finestra': 1}
8447	2350715	1959531	http://object-naming-amore.upf.edu//2350715_1959531_supercat_unique.png	animals_plantes	gat	{'gat': 7, 'gatet': 3}	10	test	0.7	1.0	{'gat': 8, 'gatet': 3}
8500	2350935	2151038	http://object-naming-amore.upf.edu//2350935_2151038_supercat_ambiguous.png	menjar	pizza	{'pizza': 6, 'menjar': 2, 'tovalles': 1, 'manta': 1}	10	test	0.6	0.4	{'pizza': 7, 'menjar': 1, 'tovalles': 1, 'manta': 1, 'menjar? no es veu bé…': 1}
8528	2351043	863465	http://object-naming-amore.upf.edu//2351043_863465_singleton_obj.png	animals_plantes	girafa	{'girafa': 9, 'tanca': 1}	10	test	0.9	0.5	{'girafa': 7, 'jirafa': 2, 'vallaa': 1, 'girafajugador': 1}
8534	2351078	2267101	http://object-naming-amore.upf.edu//2351078_2267101_supercat_ambiguous.png	menjar	menjar	{'menjar': 2, 'farcit': 2, 'carn': 2, 'entrepà': 2, 'farciment': 1, 'hamburguesa': 1}	10	test	0.2	0.2857142857142857	{'menjar': 2, 'farcit': 2, 'carn': 2, 'entrepà': 2, 'contingut': 1, 'farciment': 1, 'hamburguesa': 1}
8536	2351086	863220	http://object-naming-amore.upf.edu//2351086_863220_singleton_obj.png	casa	banyera	{'banyera': 10}	10	test	1.0	1.0	{'banyera': 11}
8537	2351090	2757928	http://object-naming-amore.upf.edu//2351090_2757928_seed_ambiguous.png	casa	taula	{'taula': 4, 'coberts': 3, 'culleres': 2, 'estris': 1}	10	test	0.4	0.25	{'taula': 5, 'culleres': 2, 'coberts': 2, 'estris de fusta': 1, 'cuberts': 1}
8594	2351300	1776918	http://object-naming-amore.upf.edu//2351300_1776918_singleton_obj.png	casa	banc	{'banc': 10}	10	test	1.0	0.5	{'banc': 11}
8607	2351336	2032634	http://object-naming-amore.upf.edu//2351336_2032634_singleton_obj.png	vehicles	tren	{'tren': 6, 'tren de mercaderies': 2, 'vies de tren': 1, 'tren de càrrega': 1}	10	test	0.6	0.25	{'tren': 6, 'tren de mercaderies': 2, 'vies de tren': 1, 'trenp': 1, 'tren de càrrega': 1}
8618	2351404	1807896	http://object-naming-amore.upf.edu//2351404_1807896_seed_ambiguous.png	casa	cadira	{'cadira': 10}	10	test	1.0	1.0	{'cadira': 11}
8620	2351406	1677673	http://object-naming-amore.upf.edu//2351406_1677673_singleton_obj.png	casa	llit	{'llit': 10}	10	test	1.0	1.0	{'llit': 10, 'llit, vànova, llençol': 1}
